HEIGHT;THETA;PHI;CENTRAL_SPEED;PERP_SPEED;AZI_SPEED 
6899980.500000;0.593416;0.500000;-28.743368;220000.000000;0.000000
6899980.000000;0.593735;0.500000;-28.841469;220000.000000;0.000000
6899979.500000;0.594053;0.500000;-28.939569;220000.000000;0.000000
6899979.000000;0.594372;0.500000;-29.037670;220000.000000;0.000000
6899978.500000;0.594691;0.500000;-29.135771;220000.000000;0.000000
6899978.000000;0.595010;0.500000;-29.233871;220000.000000;0.000000
6899977.500000;0.595329;0.500000;-29.331972;220000.000000;0.000000
6899977.000000;0.595648;0.500000;-29.430073;220000.000000;0.000000
6899976.500000;0.595966;0.500000;-29.528173;220000.000000;0.000000
6899976.000000;0.596285;0.500000;-29.626274;220000.000000;0.000000
6899975.500000;0.596604;0.500000;-29.724375;220000.000000;0.000000
6899975.000000;0.596923;0.500000;-29.822475;220000.000000;0.000000
6899974.500000;0.597242;0.500000;-29.920576;220000.000000;0.000000
6899974.000000;0.597561;0.500000;-30.018677;220000.000000;0.000000
6899973.500000;0.597879;0.500000;-30.116777;220000.000000;0.000000
6899973.000000;0.598198;0.500000;-30.214878;220000.000000;0.000000
6899972.500000;0.598517;0.500000;-30.312979;220000.000000;0.000000
6899972.000000;0.598836;0.500000;-30.411079;220000.000000;0.000000
6899971.500000;0.599155;0.500000;-30.509180;220000.000000;0.000000
6899971.000000;0.599473;0.500000;-30.607281;220000.000000;0.000000
6899970.500000;0.599792;0.500000;-30.705381;220000.000000;0.000000
6899970.000000;0.600111;0.500000;-30.803482;220000.000000;0.000000
6899969.500000;0.600430;0.500000;-30.901583;220000.000000;0.000000
6899969.000000;0.600749;0.500000;-30.999683;220000.000000;0.000000
6899968.500000;0.601068;0.500000;-31.097784;220000.000000;0.000000
6899968.000000;0.601386;0.500000;-31.195885;220000.000000;0.000000
6899967.500000;0.601705;0.500000;-31.293985;220000.000000;0.000000
6899967.000000;0.602024;0.500000;-31.392086;220000.000000;0.000000
6899966.500000;0.602343;0.500000;-31.490187;220000.000000;0.000000
6899966.000000;0.602662;0.500000;-31.588287;220000.000000;0.000000
6899965.500000;0.602981;0.500000;-31.686388;220000.000000;0.000000
6899965.000000;0.603299;0.500000;-31.784489;220000.000000;0.000000
6899964.500000;0.603618;0.500000;-31.882589;220000.000000;0.000000
6899964.000000;0.603937;0.500000;-31.980690;220000.000000;0.000000
6899963.500000;0.604256;0.500000;-32.078789;220000.000000;0.000000
6899963.000000;0.604575;0.500000;-32.176888;220000.000000;0.000000
6899962.500000;0.604894;0.500000;-32.274986;220000.000000;0.000000
6899962.000000;0.605212;0.500000;-32.373085;220000.000000;0.000000
6899961.500000;0.605531;0.500000;-32.471184;220000.000000;0.000000
6899961.000000;0.605850;0.500000;-32.569283;220000.000000;0.000000
6899960.500000;0.606169;0.500000;-32.667381;220000.000000;0.000000
6899960.000000;0.606488;0.500000;-32.765480;220000.000000;0.000000
6899959.500000;0.606806;0.500000;-32.863579;220000.000000;0.000000
6899959.000000;0.607125;0.500000;-32.961678;220000.000000;0.000000
6899958.500000;0.607444;0.500000;-33.059776;220000.000000;0.000000
6899958.000000;0.607763;0.500000;-33.157875;220000.000000;0.000000
6899957.500000;0.608082;0.500000;-33.255974;220000.000000;0.000000
6899957.000000;0.608401;0.500000;-33.354073;220000.000000;0.000000
6899956.500000;0.608719;0.500000;-33.452171;220000.000000;0.000000
6899956.000000;0.609038;0.500000;-33.550270;220000.000000;0.000000
6899955.500000;0.609357;0.500000;-33.648369;220000.000000;0.000000
6899955.000000;0.609676;0.500000;-33.746468;220000.000000;0.000000
6899954.500000;0.609995;0.500000;-33.844566;220000.000000;0.000000
6899954.000000;0.610314;0.500000;-33.942665;220000.000000;0.000000
6899953.500000;0.610632;0.500000;-34.040764;220000.000000;0.000000
6899953.000000;0.610951;0.500000;-34.138863;220000.000000;0.000000
6899952.500000;0.611270;0.500000;-34.236961;220000.000000;0.000000
6899952.000000;0.611589;0.500000;-34.335060;220000.000000;0.000000
6899951.500000;0.611908;0.500000;-34.433159;220000.000000;0.000000
6899951.000000;0.612226;0.500000;-34.531258;220000.000000;0.000000
6899950.500000;0.612545;0.500000;-34.629356;220000.000000;0.000000
6899950.000000;0.612864;0.500000;-34.727455;220000.000000;0.000000
6899949.500000;0.613183;0.500000;-34.825554;220000.000000;0.000000
6899949.000000;0.613502;0.500000;-34.923653;220000.000000;0.000000
6899948.500000;0.613821;0.500000;-35.021751;220000.000000;0.000000
6899948.000000;0.614139;0.500000;-35.119850;220000.000000;0.000000
6899947.500000;0.614458;0.500000;-35.217949;220000.000000;0.000000
6899947.000000;0.614777;0.500000;-35.316048;220000.000000;0.000000
6899946.500000;0.615096;0.500000;-35.414146;220000.000000;0.000000
6899946.000000;0.615415;0.500000;-35.512245;220000.000000;0.000000
6899945.500000;0.615734;0.500000;-35.610344;220000.000000;0.000000
6899945.000000;0.616052;0.500000;-35.708443;220000.000000;0.000000
6899944.500000;0.616371;0.500000;-35.806541;220000.000000;0.000000
6899944.000000;0.616690;0.500000;-35.904640;220000.000000;0.000000
6899943.500000;0.617009;0.500000;-36.002739;220000.000000;0.000000
6899943.000000;0.617328;0.500000;-36.100838;220000.000000;0.000000
6899942.500000;0.617647;0.500000;-36.198936;220000.000000;0.000000
6899942.000000;0.617965;0.500000;-36.297035;220000.000000;0.000000
6899941.500000;0.618284;0.500000;-36.395134;220000.000000;0.000000
6899941.000000;0.618603;0.500000;-36.493233;220000.000000;0.000000
6899940.500000;0.618922;0.500000;-36.591331;220000.000000;0.000000
6899940.000000;0.619241;0.500000;-36.689430;220000.000000;0.000000
6899939.500000;0.619559;0.500000;-36.787529;220000.000000;0.000000
6899939.000000;0.619878;0.500000;-36.885628;220000.000000;0.000000
6899938.500000;0.620197;0.500000;-36.983727;220000.000000;0.000000
6899938.000000;0.620516;0.500000;-37.081825;220000.000000;0.000000
6899937.500000;0.620835;0.500000;-37.179924;220000.000000;0.000000
6899937.000000;0.621154;0.500000;-37.278023;220000.000000;0.000000
6899936.500000;0.621472;0.500000;-37.376122;220000.000000;0.000000
6899936.000000;0.621791;0.500000;-37.474220;220000.000000;0.000000
6899935.500000;0.622110;0.500000;-37.572319;220000.000000;0.000000
6899935.000000;0.622429;0.500000;-37.670418;220000.000000;0.000000
6899934.500000;0.622748;0.500000;-37.768517;220000.000000;0.000000
6899934.000000;0.623067;0.500000;-37.866615;220000.000000;0.000000
6899933.500000;0.623385;0.500000;-37.964714;220000.000000;0.000000
6899933.000000;0.623704;0.500000;-38.062813;220000.000000;0.000000
6899932.500000;0.624023;0.500000;-38.160912;220000.000000;0.000000
6899932.000000;0.624342;0.500000;-38.259010;220000.000000;0.000000
6899931.500000;0.624661;0.500000;-38.357109;220000.000000;0.000000
6899931.000000;0.624979;0.500000;-38.455208;220000.000000;0.000000
6899930.500000;0.625298;0.500000;-38.553307;220000.000000;0.000000
6899930.000000;0.625617;0.500000;-38.651405;220000.000000;0.000000
6899929.500000;0.625936;0.500000;-38.749504;220000.000000;0.000000
6899929.000000;0.626255;0.500000;-38.847603;220000.000000;0.000000
6899928.500000;0.626574;0.500000;-38.945702;220000.000000;0.000000
6899928.000000;0.626892;0.500000;-39.043800;220000.000000;0.000000
6899927.500000;0.627211;0.500000;-39.141899;220000.000000;0.000000
6899927.000000;0.627530;0.500000;-39.239998;220000.000000;0.000000
6899926.500000;0.627849;0.500000;-39.338097;220000.000000;0.000000
6899926.000000;0.628168;0.500000;-39.436195;220000.000000;0.000000
6899925.500000;0.628487;0.500000;-39.534294;220000.000000;0.000000
6899925.000000;0.628805;0.500000;-39.632393;220000.000000;0.000000
6899924.500000;0.629124;0.500000;-39.730492;220000.000000;0.000000
6899924.000000;0.629443;0.500000;-39.828590;220000.000000;0.000000
